University,75earn,Ownership,Control
The University of West Florida,50400,1,Public
University of West Georgia,50400,1,Public
Northern Kentucky University,50300,1,Public
University of South Carolina-Upstate,50300,1,Public
University of Hawaii at Hilo,50200,1,Public
Valley City State University,50200,1,Public
Youngstown State University,50200,1,Public
Coastal Carolina University,50200,1,Public
Georgia Southwestern State University,50100,1,Public
Mississippi University for Women,50100,1,Public
Delaware State University,50000,1,Public
Massachusetts College of Liberal Arts,50000,1,Public
Northern Michigan University,50000,1,Public
University of North Carolina at Greensboro,50000,1,Public
University of Arkansas at Little Rock,49800,1,Public
Arkansas Tech University,49800,1,Public
Murray State University,49800,1,Public
Prairie View A & M University,49800,1,Public
Virginia State University,49800,1,Public
Columbus State University,49600,1,Public
Indiana University-Kokomo,49600,1,Public
Fairmont State University,49600,1,Public
Montana State University-Billings,49500,1,Public
Oklahoma Panhandle State University,49500,1,Public
Clarion University of Pennsylvania,49500,1,Public
Augusta State University,49400,1,Public
Southeastern Louisiana University,49200,1,Public
Austin Peay State University,49200,1,Public
Delta State University,49000,1,Public
Western New Mexico University,49000,1,Public
Western Kentucky University,48900,1,Public
University of North Carolina School of the Arts,48900,1,Public
Western Carolina University,48900,1,Public
Texas A & M University-Commerce,48900,1,Public
Sul Ross State University,48900,1,Public
Massachusetts College of Art and Design,48800,1,Public
Winston-Salem State University,48800,1,Public
Castleton State College,48800,1,Public
Black Hills State University,48700,1,Public
Norfolk State University,48600,1,Public
University of West Alabama,48500,1,Public
University of Southern Indiana,48500,1,Public
Peru State College,48500,1,Public
Northeastern State University,48500,1,Public
Henderson State University,48300,1,Public
Lincoln University of Pennsylvania,48300,1,Public
East Tennessee State University,48300,1,Public
Eastern Kentucky University,48200,1,Public
The University of Tennessee-Martin,48200,1,Public
The Evergreen State College,48000,1,Public
Wayne State College,47900,1,Public
East Central University,47900,1,Public
Edinboro University of Pennsylvania,47800,1,Public
Shawnee State University,47700,1,Public
Jacksonville State University,47500,1,Public
Southern University and A & M College,47500,1,Public
Winthrop University,47500,1,Public
University of Wisconsin-Superior,47400,1,Public
Indiana University-Southeast,47300,1,Public
Texas Southern University,47300,1,Public
Lewis-Clark State College,47200,1,Public
Emporia State University,47200,1,Public
Lander University,47200,1,Public
Arkansas State University-Main Campus,47100,1,Public
Alabama A & M University,47000,1,Public
Texas A & M University-Texarkana,46900,1,Public
Southwest Minnesota State University,46800,1,Public
New Mexico Highlands University,46800,1,Public
Southeastern Oklahoma State University,46800,1,Public
University of Montevallo,46600,1,Public
Adams State College,46600,1,Public
Granite State College,46600,1,Public
Indiana University-South Bend,46500,1,Public
West Liberty University,46500,1,Public
Francis Marion University,46400,1,Public
University of South Carolina-Beaufort,46400,1,Public
Auburn University at Montgomery,46300,1,Public
Savannah State University,46200,1,Public
Concord University,46200,1,Public
Glenville State College,46200,1,Public
University of Maine at Fort Kent,45800,1,Public
Missouri Southern State University,45800,1,Public
Missouri Western State University,45800,1,Public
Louisiana State University-Alexandria,45700,1,Public
Bluefield State College,45700,1,Public
University of the Virgin Islands,45500,1,Public
Albany State University,45400,1,Public
Morehead State University,45400,1,Public
The University of Montana-Western,45200,1,Public
The University of Texas at Brownsville,45200,1,Public
Northern State University,45100,1,Public
Mayville State University,45000,1,Public
Johnson State College,45000,1,Public
Lyndon State College,44900,1,Public
Langston University,44700,1,Public
University of Arkansas-Fort Smith,44500,1,Public
Eastern New Mexico University-Main Campus,44300,1,Public
Indiana University-East,44200,1,Public
North Carolina Central University,44200,1,Public
South Carolina State University,44200,1,Public
Grambling State University,44100,1,Public
University of North Carolina at Pembroke,44100,1,Public
Alcorn State University,44000,1,Public
University of Science and Arts of Oklahoma,44000,1,Public
University of Maine at Farmington,43500,1,Public
West Virginia State University,43500,1,Public
Jackson State University,43000,1,Public
Columbia College,43000,1,Public
University of Guam,42900,1,Public
Southern University at New Orleans,42400,1,Public
Cheyney University of Pennsylvania,42400,1,Public
Fayetteville State University,42300,1,Public
Alabama State University,42200,1,Public
Fort Valley State University,42100,1,Public
Elizabeth City State University,41600,1,Public
University of Arkansas at Pine Bluff,40900,1,Public
Harris-Stowe State University,40600,1,Public
Kentucky State University,40000,1,Public
University of Maine at Augusta,39900,1,Public
University of Maine at Presque Isle,39400,1,Public
